log_id,timestamp,source,event_id,item,category,confidence,weight_lbs,contamination_flag
WST-0001,2026-03-31T18:39:00,Cafeteria Bin 1,EVT-022,milk carton,recycling,0.989,0.44,0
WST-0002,2026-04-02T18:51:00,Event Cleanup,EVT-024,salad leftovers,compost,0.742,0.85,1
WST-0003,2026-06-04T05:50:00,Cafeteria Bin 2,EVT-024,unopened granola bar,unopened_food,0.832,0.38,0
WST-0004,2026-03-26T06:26:00,Cafeteria Bin 1,EVT-022,salad leftovers,compost,0.99,0.98,0
WST-0005,2026-03-13T19:51:00,Compost AI Demo Bin,EVT-020,pizza crust,compost,0.619,0.11,0
WST-0006,2026-06-04T03:23:00,Cafeteria Bin 1,EVT-036,salad leftovers,compost,0.903,0.74,0
WST-0007,2026-04-13T03:39:00,Cafeteria Bin 2,EVT-011,paper tray,compost,0.778,0.17,0
WST-0008,2026-04-21T12:08:00,Cafeteria Bin 1,EVT-022,plastic wrapper,landfill,0.446,1.53,1
WST-0009,2026-05-02T08:06:00,Compost AI Demo Bin,EVT-028,apple cores,compost,0.648,0.32,0
WST-0010,2026-03-18T14:19:00,Compost AI Demo Bin,EVT-001,milk carton,recycling,0.878,1.19,0
WST-0011,2026-03-06T06:46:00,Cafeteria Bin 2,EVT-020,foil pouch,landfill,0.819,0.26,0
WST-0012,2026-05-06T02:44:00,Compost AI Demo Bin,EVT-037,water bottle,recycling,0.869,0.86,0
WST-0013,2026-05-23T19:27:00,Cafeteria Bin 2,EVT-024,water bottle,recycling,0.548,0.09,0
WST-0014,2026-05-26T15:07:00,Event Cleanup,EVT-028,unopened granola bar,unopened_food,0.674,1.19,0
WST-0015,2026-03-21T15:03:00,Event Cleanup,EVT-014,pizza crust,compost,0.83,1.28,1
WST-0016,2026-05-03T07:25:00,Cafeteria Bin 1,EVT-037,paper tray,compost,0.732,0.43,0
WST-0017,2026-05-17T07:01:00,Cafeteria Bin 2,EVT-035,unopened granola bar,unopened_food,0.832,0.19,0
WST-0018,2026-05-04T13:44:00,Cafeteria Bin 2,EVT-025,apple cores,compost,0.859,0.47,0
WST-0019,2026-06-02T11:24:00,Event Cleanup,EVT-019,apple cores,compost,0.89,0.29,0
WST-0020,2026-05-08T03:15:00,Cafeteria Bin 1,EVT-025,apple cores,compost,0.791,0.93,1
