alert_id,timestamp,location,duration_min,confidence,estimated_gallons,status,model_reason,human_verified
WTR-001,2026-03-16T13:00:00,Cafeteria Handwash Sink,57,0.642,8.9,false_alarm,short fixture-use pattern,0
WTR-002,2026-05-19T11:00:00,Main Supply Closet,81,0.941,114.4,open,continuous audio/vibration pattern,0
WTR-003,2026-04-06T06:00:00,B-Wing Bathroom Sink 2,14,0.686,2.5,false_alarm,short fixture-use pattern,0
WTR-004,2026-06-05T20:00:00,B-Wing Bathroom Toilet 3,95,0.874,134.5,open,continuous audio/vibration pattern,0
WTR-005,2026-04-05T18:00:00,Main Supply Closet,8,0.769,1.5,false_alarm,short fixture-use pattern,0
WTR-006,2026-04-13T14:00:00,Science Lab Sink 4,48,0.641,7.3,false_alarm,short fixture-use pattern,0
WTR-007,2026-05-24T07:00:00,B-Wing Bathroom Toilet 3,17,0.718,1.0,false_alarm,short fixture-use pattern,0
WTR-008,2026-05-13T22:00:00,Main Supply Closet,25,0.832,13.1,open,continuous audio/vibration pattern,0
WTR-009,2026-04-15T09:00:00,B-Wing Bathroom Toilet 3,39,0.93,28.3,needs_verification,continuous audio/vibration pattern,0
WTR-010,2026-03-10T14:00:00,B-Wing Bathroom Sink 2,26,0.733,40.4,resolved,continuous audio/vibration pattern,1
WTR-011,2026-06-03T11:00:00,B-Wing Bathroom Toilet 3,40,0.862,70.9,open,continuous audio/vibration pattern,0
WTR-012,2026-04-07T09:00:00,B-Wing Bathroom Sink 2,76,0.647,7.7,false_alarm,short fixture-use pattern,0
WTR-013,2026-04-19T22:00:00,Gym Locker Room Shower,40,0.805,70.5,open,continuous audio/vibration pattern,0
WTR-014,2026-04-25T14:00:00,Main Supply Closet,39,0.87,64.5,resolved,continuous audio/vibration pattern,1
WTR-015,2026-06-02T16:00:00,B-Wing Bathroom Toilet 3,41,0.667,2.8,false_alarm,short fixture-use pattern,0
WTR-016,2026-05-26T12:00:00,Science Lab Sink 4,38,0.602,4.1,false_alarm,short fixture-use pattern,0
